"---------- 3037 ----------"
Priya Indian cuisine,sydneham@priyaindiancuisine.com.au,0394492221,8/ 28A Hume Dr Sydenham
Patiala House A Punjabi Curry Point,patialahousehillside@gmail.com,0394493650,1 Sanctuary Rd Hillside
McDonald's Family Restaurants,,0393905611,Cnr Melton Highway and Calder Park Drive Sydenham
Clove Chill & Grill,,0383908486,Taylors Hill Village Shop 14/ 127 Gourlay Rd Taylors Hill
Masala House Indian Restaurant,,0393079601,Water Vale Shopping Center Shop 5 2-14 Calder Park Dr Taylors Hill
Sharma's Sweets Curry & Namkeen Bhandar,,0393564400,4 350 Taylors Rd Delahey
Cagneys Pizza & Pasta,,0393905033,Shop 4 Overton Lea Blv Sydenham
Delahey Noodle Bar,,0393564902,1/ 260 Taylors Rd Delahey
The Sporting Globe,watergardens@sportingglobe.com.au,0383582877,Watergardens Town Centre Station St Taylors Lakes
Hog's Breath Cafe,hbdandenong@hogsbreath.com.au,0397919188,Shop R 03 399 Melton Hwy Taylors Lakes
Hog's Breath Cafe,hbdandenong@hogsbreath.com.au,0397936409,Shop Ro 3 399 Melton Hwy Taylors Lakes
Slices Family Restaurant,info@slices.com.au,0393909933,920 Old Calder Hwy Keilor
Billy Group,billyspaddock@billygroup.com.au,0394495222,29-35 Lake St Caroline Springs
Hughies,amanda.revell@greatcatering.com.au,0399959868,68 Kings Rd St Albans
Caroline Thai Restaurant,info@carolinethai.com,0393635900,Shop 9 / 13-15 Lake St. Caroline Springs Shopping Ctr Caroline Springs
Caroline Springs Taco Bill,,0383585466,238 Caroline Springs Blv Caroline Springs
Slices,,0393909933,920 Old Calder Hwy Keilor
Blendinn Bar & Bistro,,0383524234,25 Commercial Rd Caroline Springs
Slices Family Restaurant,,0383902200,2 Lake St Caroline Springs
Hog's Breath Cafe,,0393904444,"WaterGardens Town Centre Shop R 03, 399 Melton Hwy, Taylors Lakes"
McDonald's Family Restaurants,,0394497100,"Shop 76, Watergardens Shpng Cntr Taylors Lakes"
Cafe Greco,,0383582109,7/ 399 Melton Hwy Taylors Lakes
Subway Sandwiches & Salads,,0394493233,Water Gardens Shopping Centre Melton Highway Taylors Lakes
Stella Pizza Cafe,,0383582911,118 Gourlay Rd Caroline Springs
Stella Pizza,,0383582911,118 Gourlay Rd Caroline Springs
Grill'd (Healthy Burgers),,0383907722," Taylors Lakes"
Sumos Noodle & Sushi Bar Taylors Lakes,,0394494803,Shop 26 / 3 Melton Hwy Taylors Lakes
Oceans D'Lish,,0383901700,Shop 4/ Lake St Caroline Springs
DiCaprio Family Restaurant,,0394498466,Watergardens Shopng Cntr 399 Melton Hwy Taylors Lakes
Taco Bill Mexican Restaurant,,0383585466,234-238 Caroline Springs Blv Caroline Springs
Viet Wrap'd,,0383619490,"Shop L 01, 005 Cs Square, Caroline Springs"
Rhumbas At Watergardens,,0383616343,Water Gardens Shopping Centre Shop 67/ 399 Melton Hwy Taylors Lakes
McDonald's Family Restaurants,,0393908037,Cnr Agonis Drive and Sunshine Avenue Taylors Lakes
Carbone Cafe,,0383909780,Shop 5/ 3 Melton Hwy Taylors Lakes
"",,,
